"","year","tows","FT11_P_","FT11_P_CI_","MF_P_","MF_P_CI_","TF_P_","TF_P_CI_"
"1",1990,11,2961047,2886870,1087137,918025,4048183,2702146
"2",1991,29,1491508,1068760,647057,253271,2138565,1199315
"3",1992,37,664373,194489,859627,389421,1524000,456074
"4",1993,38,460476,223580,304666,130179,765142,256815
"5",1994,38,700447,481601,223479,107325,923926,506303
"6",1995,32,257603,118930,97336,44093,354938,130055
"7",1997,39,223738,109838,99705,70201,323443,159290
"8",1999,40,107444,47079,22788,13549,130231,50243
"9",2001,40,1634795,555504,630644,328247,2265440,769155
"10",2003,40,424736,223746,516506,332555,941242,393196
"11",2005,40,349601,213607,258566,141310,608167,284636
"12",2007,32,760869,321407,712241,380426,1473110,518316
"13",2009,43,762780,445823,1049776,622603,1812556,713727
"14",2011,43,1048655,740764,654548,390494,1703203,845024
"15",2013,43,6103502,2102100,1093875,605695,7197377,2213334
"16",2014,41,1011616,373678,811606,380555,1823222,500318
"17",2015,43,400484,209285,690873,298312,1091358,371494
"18",2017,43,374558,226429,564903,198038,939461,318317
"19",2018,43,535104,448644,322154,114641,857259,514575
