"","PROJECT_CODE","YEAR","n","P4","P3","P2","P1","LM_P_","LM_P_CI_","TM_P_","TM_P_CI_"
"46","T06",1990,11,2157963,409790,232406,242541,187937,138966,3230636,2695324
"47","T06",1991,29,832376,697768,326658,275497,134820,106043,2267119,1420647
"48","T06",1992,37,598511,319585,487258,318010,68119,39590,1791483,606616
"49","T06",1993,38,470946,118931,226671,266073,121184,39588,1203805,433640
"50","T06",1994,38,669317,79685,123373,182595,55544,23511,1110513,484107
"51","T06",1995,32,294093,41317,71749,100786,24820,15535,532765,171825
"52","T06",1997,39,209713,55957,51115,34283,11336,11048,362403,158018
"53","T06",1999,40,116969,7717,27531,16792,3677,3574,172686,64516
"54","T06",2001,40,1364121,407171,223047,59143,6626,6655,2060109,784610
"55","T06",2003,40,495341,113424,195928,94758,15882,17969,915333,360036
"56","T06",2005,40,279702,80563,142569,117450,28940,25743,649224,291641
"57","T06",2007,32,747359,201944,220162,226015,17749,14290,1413230,422800
"58","T06",2009,43,1005227,509029,255598,336874,43836,30505,2150563,884060
"59","T06",2011,43,984555,415403,555178,580675,186422,87727,2722235,1794176
"60","T06",2013,43,5987002,1024721,429215,322264,184993,74780,7948194,2332076
"61","T06",2014,41,817813,634475,421009,329437,134929,80188,2337664,647323
"62","T06",2015,43,611303,466460,609544,302250,102789,46797,2092345,882266
"63","T06",2017,43,219496,75278,253599,444370,149481,70117,1142224,290506
"64","T06",2018,43,347925,114176,209609,227648,75103,28106,974462,322243
